"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.255109375E0,1.002937818E-1,3.461405486E-1,4.947087966E-1,6.120530332E-1
2.265128375E0,1.339904816E-1,1.024391252E-1,3.611022578E-1,3.985499519E-1
2.275146375E0,1.240444408E-1,-1.707375276E-1,2.471376859E-1,3.249851726E-1
2.285165375E0,1.551757479E-1,-3.415042913E-1,1.800525807E-1,4.160812727E-1
2.295183375E0,2.108641912E-1,-4.054511958E-1,2.043237881E-1,5.006022271E-1
2.305202375E0,2.139724249E-1,-4.581708616E-1,2.753776909E-1,5.757930268E-1
2.315220375E0,2.839923207E-1,-4.968548709E-1,2.706325293E-1,6.330547898E-1
2.325238375E0,2.528310467E-1,-4.856738251E-1,3.363445620E-1,6.425965040E-1
2.335257375E0,1.563479684E-1,-4.856808418E-1,3.648718116E-1,6.272654990E-1
2.345275375E0,1.102396032E-1,-4.913274980E-1,4.026123726E-1,6.447109453E-1
2.355294375E0,1.011553690E-2,-4.773280942E-1,3.465809901E-1,5.899684876E-1
2.365312375E0,-5.417679191E-2,-4.148149270E-1,3.260768513E-1,5.304080141E-1
2.375331375E0,2.320379823E-2,-3.652773160E-1,1.752093320E-1,4.057884225E-1
2.385349375E0,8.714953333E-2,-2.824865896E-1,3.206868879E-1,4.361579926E-1
2.395368375E0,1.770820490E-1,-1.117116398E-1,4.864180295E-1,5.295658995E-1
2.405386375E0,2.207823115E-1,-9.971139908E-2,2.157112406E-1,3.243740611E-1
2.415404375E0,2.337607913E-1,-1.234815001E-1,1.094372191E-1,2.861263591E-1
2.425423375E0,2.618346624E-1,-8.634992659E-2,1.216845046E-1,3.013649265E-1
2.435441375E0,2.581667771E-1,-7.302879989E-2,2.053980678E-1,3.378929663E-1
2.445460375E0,3.156826946E-1,-9.038801372E-2,3.255478245E-1,4.623926283E-1
2.455478375E0,3.086581421E-1,-1.189183331E-1,2.711722273E-1,4.277216331E-1
2.465497375E0,2.765391672E-1,-1.338339955E-1,2.768761861E-1,4.135769237E-1
2.475515375E0,2.592102128E-1,-1.183014518E-1,3.745024681E-1,4.705712130E-1
2.485533375E0,2.404733949E-1,-7.924205124E-2,4.664880873E-1,5.307710353E-1
2.495552375E0,1.672646470E-1,-2.244570673E-2,4.965106161E-1,5.244082987E-1
2.505570375E0,1.400906624E-1,-3.406295478E-2,5.266819565E-1,5.460582037E-1
2.515589375E0,1.174164757E-1,-9.594052970E-2,5.100858043E-1,5.321454141E-1
2.525607375E0,7.434537359E-2,-1.175266957E-1,4.738365756E-1,4.938227001E-1
2.535626375E0,7.111792982E-2,-1.615948212E-1,5.016308767E-1,5.317933646E-1
2.545644375E0,7.482645325E-2,-2.544029975E-1,4.703259073E-1,5.399317942E-1
2.555663375E0,2.331891529E-2,-3.398565459E-1,4.261478542E-1,5.455714777E-1
2.565681375E0,9.506987929E-3,-3.868342459E-1,3.904728220E-1,5.497273337E-1
2.575699375E0,-1.685533002E-2,-4.082531816E-1,4.667877571E-1,6.203592287E-1
2.585718375E0,-3.879627585E-2,-4.304188067E-1,5.407162973E-1,6.921991147E-1
2.595736375E0,-2.232130721E-2,-4.160253006E-1,4.961309856E-1,6.478589711E-1
2.605755375E0,-2.861824684E-2,-3.588407010E-1,5.043299514E-1,6.196243641E-1
2.615773375E0,-5.696722940E-2,-3.444834477E-1,5.063049947E-1,6.150275267E-1
2.625792375E0,-5.184601866E-2,-3.491337383E-1,5.447995542E-1,6.491447690E-1
2.635810375E0,-3.520089604E-2,-3.372521961E-1,5.597434294E-1,6.544393430E-1
2.645829375E0,8.959469274E-3,-3.185036838E-1,5.522098768E-1,6.375426391E-1
2.655847375E0,-1.939594522E-2,-2.819679415E-1,6.131043886E-1,6.751141489E-1
2.665865375E0,-4.416972086E-2,-2.684415776E-1,6.097685520E-1,6.677046741E-1
