"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.436856417E0,-8.459563326E0,1.357876438E1,4.639068632E0,1.665737108E1
2.446875417E0,-8.448908529E0,1.358213003E1,4.661865757E0,1.666107151E1
2.456894417E0,-1.509656357E0,7.251288836E0,5.873012106E-1,7.430018493E0
2.466912417E0,-1.758169454E0,5.143973950E0,7.293244509E-1,5.484846577E0
2.476931417E0,-1.789248428E0,3.773920451E0,5.964031327E-1,4.218955109E0
2.486950417E0,-1.753597954E0,3.292728517E0,6.424009855E-1,3.785478292E0
2.496968417E0,-1.525217990E0,3.453869594E0,9.117014460E-1,3.884160735E0
2.506987417E0,-1.116292452E0,4.155114473E0,9.919718032E-1,4.415324810E0
2.517006417E0,-3.917515350E-1,5.091131492E0,6.413109183E-1,5.146296613E0
2.527024417E0,2.134194975E-1,5.758012285E0,-3.762917161E-2,5.762088971E0
2.537043417E0,5.029779290E-1,5.779979104E0,-5.231712151E-1,5.825362938E0
2.547062417E0,5.376625890E-1,4.744282261E0,-3.996910306E-1,4.791351391E0
2.557080417E0,1.186299922E-1,3.050191274E0,4.682581857E-2,3.052856456E0
2.567099417E0,-3.444259257E-1,1.437179534E0,3.719320321E-1,1.523957896E0
2.577118417E0,-4.306396122E-1,-2.085380226E-1,2.838470905E-1,5.563342100E-1
2.587136417E0,-2.775849418E-1,-1.720798729E0,-1.363373347E-1,1.748367677E0
2.597155417E0,-3.451340235E-1,-2.906542727E0,-7.194450684E-1,3.014085156E0
2.607173417E0,-6.251411743E-1,-3.456944645E0,-5.568398483E-1,3.556871994E0
2.617192417E0,-8.911597388E-1,-3.706111461E0,-1.892802179E-1,3.816445315E0
2.627211417E0,-9.927501407E-1,-3.810742123E0,2.835548759E-2,3.938034078E0
2.637229417E0,-1.089729282E0,-3.545697193E0,-5.043011539E-2,3.709719893E0
2.647248417E0,-1.009434659E0,-3.211592553E0,-2.483419199E-1,3.375641978E0
2.657267417E0,-7.309574320E-1,-2.929148648E0,-3.159671617E-1,3.035464679E0
2.667285417E0,-5.327193528E-1,-2.437524696E0,-3.264419369E-1,2.516322891E0
2.677304417E0,-2.923100580E-1,-1.839214202E0,-3.130832418E-1,1.888431933E0
2.687323417E0,-1.743288144E-1,-1.386082470E0,-1.771893454E-1,1.408194310E0
2.697341417E0,-3.594818482E-1,-9.132263267E-1,-4.698237777E-2,9.825562919E-1
2.707360417E0,-5.812930503E-1,-3.619613600E-1,4.389621735E-2,6.861811090E-1
2.717379417E0,-8.141078353E-1,1.172436905E-1,1.068743113E-1,8.294213458E-1
2.727397417E0,-1.011155056E0,5.974053454E-1,1.111345561E-1,1.179694275E0
2.737416417E0,-9.444424915E-1,9.817820066E-1,1.194376754E-1,1.367528020E0
2.747435417E0,-6.325419221E-1,9.682819551E-1,1.864021453E-1,1.171505436E0
2.757453417E0,-2.581854151E-1,7.763810152E-1,2.425109668E-1,8.533690634E-1
2.767472417E0,-7.611013636E-2,4.685794902E-1,2.143507397E-1,5.208701672E-1
2.777490417E0,7.549990632E-2,1.173074251E-1,1.999244893E-1,2.437848832E-1
2.787509417E0,1.423127505E-1,-1.958747077E-1,2.036935679E-1,3.164030494E-1
2.797528417E0,2.124560957E-1,-3.920599025E-1,1.848503673E-1,4.827196061E-1
2.807546417E0,3.791723469E-1,-5.415930873E-1,2.448217499E-1,7.050052696E-1
2.817565417E0,4.816359573E-1,-6.127425921E-1,3.325428486E-1,8.473555486E-1
2.827584417E0,4.702106441E-1,-6.273881131E-1,3.495676748E-1,8.584354685E-1
2.837602417E0,4.222214489E-1,-7.733287686E-1,2.212515871E-1,9.084385510E-1
2.847621417E0,3.329606321E-1,-8.480310416E-1,2.115885333E-1,9.353016292E-1
2.857640417E0,2.277067304E-1,-8.038295996E-1,6.153691614E-1,1.037627864E0
2.867658417E0,2.707406297E-1,-8.252578908E-1,5.395693660E-1,1.022490184E0
2.877677417E0,3.436610368E-1,-7.973912305E-1,9.530961514E-2,8.735099343E-1
2.887696417E0,2.602934825E-1,-5.778733063E-1,-1.584501886E-1,6.532968065E-1
2.897714417E0,9.309132770E-2,-3.122266978E-1,-7.689789335E-2,3.347607984E-1
2.907733417E0,6.374597959E-2,-1.065789539E-1,1.539911020E-1,1.978279121E-1
